 10 4.48e-06   1000   4.48e-09
 12 6.439e-06   1728   3.72627e-09
 14 1.2351e-05   2744   4.50109e-09
 16 2.0193e-05   4096   4.92993e-09
 19 3.5356e-05   6859   5.15469e-09
 22 5.2242e-05   10648   4.90627e-09
 26 8.7968e-05   17576   5.00501e-09
 31 0.000155876   29791   5.23232e-09
 37 0.0002738   50653   5.40541e-09
 44 0.000445616   85184   5.23122e-09
 52 0.000762064   140608   5.41978e-09
 62 0.00127678   238328   5.35724e-09
 74 0.00218621   405224   5.39507e-09
 88 0.00371219   681472   5.44731e-09
