
10   2.2679e-05   1000   2.2679e-08
20   0.000154732   8000   1.93415e-08
30   0.000563071   27000   2.08545e-08
40   0.00150016   64000   2.344e-08
50   0.00219679   125000   1.75743e-08
60   0.00360983   216000   1.67122e-08
70   0.00582494   343000   1.69823e-08
80   0.00800132   512000   1.56276e-08
90   0.011225   729000   1.53979e-08
100   0.0146527   1000000   1.46527e-08
110   0.0176589   1331000   1.32674e-08
120   0.0299262   1728000   1.73184e-08
130   0.0356516   2197000   1.62274e-08
140   0.0475809   2744000   1.734e-08
150   0.0563767   3375000   1.67042e-08
160   0.0614221   4096000   1.49956e-08
170   0.0623844   4913000   1.26978e-08
180   0.0637934   5832000   1.09385e-08
190   0.0610614   6859000   8.90237e-09
200   0.0706594   8000000   8.83242e-09
210   0.124547   9261000   1.34485e-08
220   0.117353   10648000   1.10211e-08
230   0.14839   12167000   1.21961e-08
240   0.155644   13824000   1.1259e-08
250   0.173981   15625000   1.11348e-08
